NOT_ID,POLL_TYPE,POLLUTANT
11415,Contaminated Water,Other Contaminated Water
29274,Contaminated Water,Other Contaminated Water
72725,Contaminated Water,Other Contaminated Water
82135,Contaminated Water,Other Contaminated Water
511584,Contaminated Water,Other Contaminated Water
610407,Contaminated Water,Other Contaminated Water
840939,Contaminated Water,Other Contaminated Water
884865,Contaminated Water,Other Contaminated Water
1050425,Contaminated Water,Other Contaminated Water
98235,Contaminated Water,Other Contaminated Water
101150,Contaminated Water,Other Contaminated Water
109482,Contaminated Water,Other Contaminated Water
260035,Contaminated Water,Other Contaminated Water
343308,Contaminated Water,Other Contaminated Water
443671,Contaminated Water,Other Contaminated Water
510683,Contaminated Water,Other Contaminated Water
544978,Contaminated Water,Other Contaminated Water
696914,Contaminated Water,Other Contaminated Water
752897,Contaminated Water,Other Contaminated Water
836343,Contaminated Water,Other Contaminated Water
1026468,Contaminated Water,Other Contaminated Water
15037,Contaminated Water,Other Contaminated Water
59768,Contaminated Water,Other Contaminated Water
113317,Contaminated Water,Other Contaminated Water
139880,Contaminated Water,Other Contaminated Water
143144,Contaminated Water,Other Contaminated Water
204816,Contaminated Water,Other Contaminated Water
236066,Contaminated Water,Other Contaminated Water
341901,Contaminated Water,Other Contaminated Water
376291,Contaminated Water,Other Contaminated Water
629854,Contaminated Water,Other Contaminated Water
720164,Contaminated Water,Other Contaminated Water
847271,Contaminated Water,Other Contaminated Water
1047771,Contaminated Water,Other Contaminated Water
264930,Contaminated Water,Other Contaminated Water
415972,Contaminated Water,Other Contaminated Water
512166,Contaminated Water,Other Contaminated Water
719894,Contaminated Water,Other Contaminated Water
1017358,Contaminated Water,Other Contaminated Water
51216,Contaminated Water,Other Contaminated Water
422137,Contaminated Water,Other Contaminated Water
424716,Contaminated Water,Other Contaminated Water
727208,Contaminated Water,Other Contaminated Water
738908,Contaminated Water,Other Contaminated Water
993698,Contaminated Water,Other Contaminated Water
1050623,Contaminated Water,Other Contaminated Water
338515,Contaminated Water,Other Contaminated Water
391107,Contaminated Water,Other Contaminated Water
422879,Contaminated Water,Other Contaminated Water
439556,Contaminated Water,Other Contaminated Water
625269,Contaminated Water,Other Contaminated Water
822857,Contaminated Water,Other Contaminated Water
828456,Contaminated Water,Other Contaminated Water
855304,Contaminated Water,Other Contaminated Water
975540,Contaminated Water,Other Contaminated Water
14560,Contaminated Water,Other Contaminated Water
192746,Contaminated Water,Other Contaminated Water
198154,Contaminated Water,Other Contaminated Water
277295,Contaminated Water,Other Contaminated Water
511723,Contaminated Water,Other Contaminated Water
617291,Contaminated Water,Other Contaminated Water
688271,Contaminated Water,Other Contaminated Water
994385,Contaminated Water,Other Contaminated Water
1038399,Contaminated Water,Other Contaminated Water
18105,Contaminated Water,Other Contaminated Water
33310,Contaminated Water,Other Contaminated Water
105398,Contaminated Water,Other Contaminated Water
129853,Contaminated Water,Other Contaminated Water
153893,Contaminated Water,Other Contaminated Water
257840,Contaminated Water,Other Contaminated Water
311515,Contaminated Water,Other Contaminated Water
503149,Contaminated Water,Other Contaminated Water
514312,Contaminated Water,Other Contaminated Water
627650,Contaminated Water,Other Contaminated Water
658607,Contaminated Water,Other Contaminated Water
665922,Contaminated Water,Other Contaminated Water
723660,Contaminated Water,Other Contaminated Water
12546,Contaminated Water,Other Contaminated Water
56825,Contaminated Water,Other Contaminated Water
218145,Contaminated Water,Other Contaminated Water
471582,Contaminated Water,Suspended Solids
474635,Contaminated Water,Suspended Solids
489270,Contaminated Water,Suspended Solids
607093,Contaminated Water,Suspended Solids
608970,Contaminated Water,Suspended Solids
802257,Contaminated Water,Suspended Solids
820757,Contaminated Water,Suspended Solids
841110,Contaminated Water,Suspended Solids
841838,Contaminated Water,Suspended Solids
967150,Contaminated Water,Suspended Solids
1049922,Contaminated Water,Suspended Solids
25684,Contaminated Water,Suspended Solids
83003,Contaminated Water,Suspended Solids
109105,Contaminated Water,Suspended Solids
182028,Contaminated Water,Suspended Solids
208648,Contaminated Water,Suspended Solids
209453,Contaminated Water,Suspended Solids
232384,Contaminated Water,Suspended Solids
450850,Contaminated Water,Suspended Solids
459850,Contaminated Water,Suspended Solids
582326,Contaminated Water,Suspended Solids
624533,Contaminated Water,Suspended Solids
644912,Contaminated Water,Suspended Solids
662951,Contaminated Water,Suspended Solids
748510,Contaminated Water,Suspended Solids
772309,Contaminated Water,Suspended Solids
873035,Contaminated Water,Suspended Solids
33154,Contaminated Water,Suspended Solids
59768,Contaminated Water,Suspended Solids
142426,Contaminated Water,Suspended Solids
159971,Contaminated Water,Suspended Solids
205731,Contaminated Water,Suspended Solids
209822,Contaminated Water,Suspended Solids
227452,Contaminated Water,Suspended Solids
267868,Contaminated Water,Suspended Solids
285784,Contaminated Water,Suspended Solids
341901,Contaminated Water,Suspended Solids
386483,Contaminated Water,Suspended Solids
424888,Contaminated Water,Suspended Solids
451598,Contaminated Water,Suspended Solids
456574,Contaminated Water,Suspended Solids
464907,Contaminated Water,Suspended Solids
506369,Contaminated Water,Suspended Solids
528423,Contaminated Water,Suspended Solids
566220,Contaminated Water,Suspended Solids
589076,Contaminated Water,Suspended Solids
691667,Contaminated Water,Suspended Solids
830002,Contaminated Water,Suspended Solids
499003,Contaminated Water,Suspended Solids
534480,Contaminated Water,Suspended Solids
567339,Contaminated Water,Suspended Solids
